"","NOC","Medal","Year","Sport","Event","City"
"1","DEN","Gold",1900,"Tug-Of-War","Tug-Of-War Men's Tug-Of-War","Paris"
"2","FIN","Bronze",1920,"Swimming","Swimming Men's 200 metres Breaststroke","Antwerpen"
"3","FIN","Bronze",1920,"Swimming","Swimming Men's 400 metres Breaststroke","Antwerpen"
"4","FIN","Bronze",1948,"Gymnastics","Gymnastics Men's Individual All-Around","London"
"5","FIN","Gold",1948,"Gymnastics","Gymnastics Men's Team All-Around","London"
"6","FIN","Gold",1948,"Gymnastics","Gymnastics Men's Horse Vault","London"
"7","FIN","Gold",1948,"Gymnastics","Gymnastics Men's Pommelled Horse","London"
"8","FIN","Bronze",1952,"Gymnastics","Gymnastics Men's Team All-Around","Helsinki"
"9","NOR","Gold",2008,"Handball","Handball Women's Handball","Beijing"
"10","NOR","Silver",1920,"Gymnastics","Gymnastics Men's Team All-Around, Free System","Antwerpen"
"11","NED","Bronze",1988,"Hockey","Hockey Women's Hockey","Seoul"
"12","NED","Silver",1996,"Rowing","Rowing Men's Lightweight Double Sculls","Atlanta"
"13","NOR","Bronze",1996,"Football","Football Women's Football","Atlanta"
"14","NOR","Gold",1912,"Sailing","Sailing Mixed 8 metres","Stockholm"
"15","FRA","Gold",1956,"Cycling","Cycling Men's Road Race, Team","Melbourne"
"16","ITA","Bronze",2016,"Rowing","Rowing Men's Coxless Pairs","Rio de Janeiro"
"17","ESP","Bronze",2008,"Fencing","Fencing Men's epee, Individual","Beijing"
"18","AZE","Bronze",2016,"Taekwondo","Taekwondo Women's Flyweight","Rio de Janeiro"
"19","RUS","Silver",2008,"Athletics","Athletics Women's Javelin Throw","Beijing"
"20","BLR","Gold",2008,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Beijing"
"21","FRA","Gold",2008,"Handball","Handball Men's Handball","Beijing"
"22","FRA","Gold",2012,"Handball","Handball Men's Handball","London"
"23","FRA","Silver",2016,"Handball","Handball Men's Handball","Rio de Janeiro"
"24","CMR","Gold",2000,"Football","Football Men's Football","Sydney"
"25","ESP","Gold",1996,"Water Polo","Water Polo Men's Water Polo","Atlanta"
"26","USA","Silver",2004,"Wrestling","Wrestling Men's Featherweight, Freestyle","Athina"
"27","ESP","Gold",1980,"Sailing","Sailing Mixed Two Person Heavyweight Dinghy","Moskva"
"28","ESP","Bronze",1984,"Athletics","Athletics Men's 1,500 metres","Los Angeles"
"29","RUS","Silver",2004,"Cycling","Cycling Women's Sprint","Athina"
"30","HUN","Silver",1992,"Fencing","Fencing Men's Sabre, Team","Barcelona"
"31","HUN","Bronze",1936,"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Berlin"
"32","ITA","Bronze",1936,"Modern Pentathlon","Modern Pentathlon Men's Individual","Berlin"
"33","ITA","Gold",1988,"Rowing","Rowing Men's Quadruple Sculls","Seoul"
"34","ITA","Gold",1996,"Rowing","Rowing Men's Double Sculls","Atlanta"
"35","ITA","Gold",2000,"Rowing","Rowing Men's Quadruple Sculls","Sydney"
"36","ITA","Gold",1984,"Rowing","Rowing Men's Coxed Pairs","Los Angeles"
"37","ITA","Gold",1988,"Rowing","Rowing Men's Coxed Pairs","Seoul"
"38","ITA","Silver",1992,"Rowing","Rowing Men's Coxed Pairs","Barcelona"
"39","GRE","Bronze",1906,"Football","Football Men's Football","Athina"
"40","AUS","Bronze",2008,"Hockey","Hockey Men's Hockey","Beijing"
"41","USA","Gold",1900,"Golf","Golf Women's Individual","Paris"
"42","USA","Silver",2008,"Softball","Softball Women's Softball","Beijing"
"43","USA","Silver",2004,"Taekwondo","Taekwondo Women's Featherweight","Athina"
"44","IRI","Bronze",2016,"Wrestling","Wrestling Men's Middleweight, Greco-Roman","Rio de Janeiro"
"45","CAN","Bronze",1984,"Swimming","Swimming Women's 4 x 100 metres Medley Relay","Los Angeles"
"46","PAK","Gold",1960,"Hockey","Hockey Men's Hockey","Roma"
"47","PAK","Silver",1964,"Hockey","Hockey Men's Hockey","Tokyo"
"48","URS","Gold",1972,"Wrestling","Wrestling Men's Featherweight, Freestyle","Munich"
"49","UZB","Gold",2000,"Boxing","Boxing Men's Light-Welterweight","Sydney"
"50","AZE","Silver",1996,"Wrestling","Wrestling Men's Flyweight, Freestyle","Atlanta"
"51","AZE","Gold",2000,"Wrestling","Wrestling Men's Bantamweight, Freestyle","Sydney"
"52","USA","Gold",2000,"Basketball","Basketball Men's Basketball","Sydney"
"53","TJK","Silver",2008,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Beijing"
"54","EUN","Gold",1992,"Athletics","Athletics Men's Hammer Throw","Barcelona"
"55","ETH","Bronze",1992,"Athletics","Athletics Men's 10,000 metres","Barcelona"
"56","SUI","Silver",1924,"Football","Football Men's Football","Paris"
"57","GDR","Silver",1972,"Gymnastics","Gymnastics Women's Team All-Around","Munich"
"58","CAN","Bronze",2012,"Diving","Diving Women's Synchronized Springboard","London"
"59","NOR","Silver",1920,"Sailing","Sailing Mixed 7 metres","Antwerpen"
"60","ESP","Gold",1992,"Football","Football Men's Football","Barcelona"
"61","USA","Gold",1900,"Rowing","Rowing Men's Coxed Eights","Paris"
"62","USA","Gold",1904,"Rowing","Rowing Men's Coxed Eights","St. Louis"
"63","ETH","Gold",2000,"Athletics","Athletics Men's Marathon","Sydney"
"64","SWE","Bronze",1912,"Athletics","Athletics Men's Long Jump","Stockholm"
"65","SWE","Silver",1912,"Athletics","Athletics Men's Triple Jump","Stockholm"
"66","USA","Gold",2000,"Baseball","Baseball Men's Baseball","Sydney"
"67","RSA","Bronze",1956,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Melbourne"
"68","TUR","Silver",2008,"Athletics","Athletics Women's 5,000 metres","Beijing"
"69","BUL","Gold",1980,"Wrestling","Wrestling Men's Middleweight, Freestyle","Moskva"
"70","USA","Gold",1932,"Athletics","Athletics Men's 4 x 400 metres Relay","Los Angeles"
"71","RUS","Bronze",2012,"Gymnastics","Gymnastics Men's Floor Exercise","London"
"72","RUS","Silver",2012,"Gymnastics","Gymnastics Men's Horse Vault","London"
"73","RUS","Silver",2016,"Gymnastics","Gymnastics Men's Team All-Around","Rio de Janeiro"
"74","RUS","Silver",2016,"Gymnastics","Gymnastics Men's Horse Vault","Rio de Janeiro"
"75","RUS","Bronze",2016,"Gymnastics","Gymnastics Men's Rings","Rio de Janeiro"
"76","URS","Silver",1972,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Munich"
"77","URS","Bronze",1972,"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Munich"
"78","AUS","Bronze",2016,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Rio de Janeiro"
"79","EGY","Silver",2012,"Fencing","Fencing Men's Foil, Individual","London"
"80","HUN","Bronze",1988,"Canoeing","Canoeing Men's Kayak Doubles, 500 metres","Seoul"
"81","HUN","Gold",1988,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Seoul"
"82","HUN","Silver",1992,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Barcelona"
"83","GBR","Bronze",1980,"Swimming","Swimming Men's 4 x 100 metres Medley Relay","Moskva"
"84","SWE","Silver",2004,"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Athina"
"85","GBR","Gold",1924,"Athletics","Athletics Men's 100 metres","Paris"
"86","GBR","Silver",1924,"Athletics","Athletics Men's 4 x 100 metres Relay","Paris"
"87","NOR","Gold",1912,"Gymnastics","Gymnastics Men's Team All-Around, Free System","Stockholm"
"88","SWE","Bronze",1920,"Athletics","Athletics Men's Long Jump","Antwerpen"
"89","RUS","Bronze",2004,"Volleyball","Volleyball Men's Volleyball","Athina"
"90","URS","Silver",1964,"Volleyball","Volleyball Women's Volleyball","Tokyo"
"91","ESP","Bronze",2016,"Basketball","Basketball Men's Basketball","Rio de Janeiro"
"92","RUS","Bronze",2008,"Basketball","Basketball Women's Basketball","Beijing"
"93","URS","Gold",1980,"Wrestling","Wrestling Men's Lightweight, Freestyle","Moskva"
"94","FRA","Gold",2004,"Cycling","Cycling Men's Mountainbike, Cross-Country","Athina"
"95","FRA","Gold",2008,"Cycling","Cycling Men's Mountainbike, Cross-Country","Beijing"
"96","JOR","Gold",2016,"Taekwondo","Taekwondo Men's Featherweight","Rio de Janeiro"
"97","JPN","Bronze",1964,"Gymnastics","Gymnastics Women's Team All-Around","Tokyo"
"98","URS","Bronze",1980,"Fencing","Fencing Men's epee, Team","Moskva"
"99","URS","Gold",1980,"Wrestling","Wrestling Men's Featherweight, Freestyle","Moskva"
"100","ROU","Bronze",2008,"Gymnastics","Gymnastics Women's Team All-Around","Beijing"
"101","ESP","Silver",1920,"Football","Football Men's Football","Antwerpen"
"102","PUR","Bronze",1992,"Boxing","Boxing Men's Welterweight","Barcelona"
"103","MEX","Silver",1984,"Wrestling","Wrestling Men's Flyweight, Greco-Roman","Los Angeles"
"104","GHA","Bronze",1992,"Football","Football Men's Football","Barcelona"
"105","SUI","Silver",1984,"Cycling","Cycling Men's 100 kilometres Team Time Trial","Los Angeles"
"106","MAR","Bronze",1988,"Boxing","Boxing Men's Featherweight","Seoul"
"107","MAR","Bronze",1992,"Boxing","Boxing Men's Bantamweight","Barcelona"
"108","NED","Bronze",2012,"Rowing","Rowing Women's Coxed Eights","London"
"109","NED","Silver",2016,"Rowing","Rowing Women's Quadruple Sculls","Rio de Janeiro"
"110","SWE","Gold",1920,"Gymnastics","Gymnastics Men's Team All-Around, Swedish System","Antwerpen"
"111","NZL","Gold",1976,"Hockey","Hockey Men's Hockey","Montreal"
"112","USA","Gold",1920,"Wrestling","Wrestling Men's Featherweight, Freestyle","Antwerpen"
"113","ARG","Gold",2008,"Football","Football Men's Football","Beijing"
"114","CUB","Bronze",2008,"Boxing","Boxing Men's Heavyweight","Beijing"
"115","URU","Bronze",1952,"Basketball","Basketball Men's Basketball","Helsinki"
"116","POL","Bronze",1980,"Boxing","Boxing Men's Lightweight","Moskva"
"117","USA","Gold",1936,"Rowing","Rowing Men's Coxed Eights","Berlin"
"118","TCH","Silver",1976,"Modern Pentathlon","Modern Pentathlon Men's Team","Montreal"
"119","GER","Bronze",1936,"Fencing","Fencing Men's Foil, Team","Berlin"
"120","FRA","Gold",1948,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","London"
"121","POL","Silver",1992,"Football","Football Men's Football","Barcelona"
"122","USA","Silver",1912,"Athletics","Athletics Men's Standing High Jump","Stockholm"
"123","USA","Bronze",1912,"Athletics","Athletics Men's Standing Long Jump","Stockholm"
"124","USA","Silver",1904,"Swimming","Swimming Men's Plunge For Distance","St. Louis"
"125","USA","Gold",1912,"Shooting","Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team","Stockholm"
"126","GBR","Silver",1980,"Judo","Judo Men's Lightweight","Moskva"
"127","GBR","Silver",1984,"Judo","Judo Men's Half-Middleweight","Los Angeles"
"128","GBR","Gold",2012,"Boxing","Boxing Women's Flyweight","London"
"129","GBR","Gold",2016,"Boxing","Boxing Women's Flyweight","Rio de Janeiro"
"130","USA","Gold",1912,"Athletics","Athletics Men's Standing High Jump","Stockholm"
"131","USA","Silver",1912,"Athletics","Athletics Men's Standing Long Jump","Stockholm"
"132","USA","Bronze",2016,"Volleyball","Volleyball Women's Volleyball","Rio de Janeiro"
"133","NZL","Gold",2008,"Athletics","Athletics Women's Shot Put","Beijing"
"134","NZL","Gold",2012,"Athletics","Athletics Women's Shot Put","London"
"135","NZL","Silver",2016,"Athletics","Athletics Women's Shot Put","Rio de Janeiro"
"136","GER","Gold",2012,"Rowing","Rowing Men's Coxed Eights","London"
"137","GER","Gold",1936,"Rowing","Rowing Men's Coxed Pairs","Berlin"
"138","POL","Silver",1960,"Boxing","Boxing Men's Featherweight","Roma"
"139","SUI","Bronze",1920,"Shooting","Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team","Antwerpen"
"140","NGR","Silver",2008,"Football","Football Men's Football","Beijing"
"141","BRA","Silver",1984,"Football","Football Men's Football","Los Angeles"
"142","BRA","Silver",1988,"Football","Football Men's Football","Seoul"
"143","NGR","Silver",1992,"Athletics","Athletics Men's 4 x 100 metres Relay","Barcelona"
"144","BRA","Gold",2012,"Volleyball","Volleyball Women's Volleyball","London"
"145","FRA","Bronze",1992,"Canoeing","Canoeing Men's Canadian Doubles, Slalom","Barcelona"
"146","FRA","Gold",1996,"Canoeing","Canoeing Men's Canadian Doubles, Slalom","Atlanta"
"147","USA","Gold",1952,"Boxing","Boxing Men's Light-Welterweight","Helsinki"
"148","USA","Gold",1996,"Athletics","Athletics Men's 400 metres Hurdles","Atlanta"
"149","GBR","Silver",1948,"Hockey","Hockey Men's Hockey","London"
"150","BRA","Silver",1984,"Sailing","Sailing Mixed Three Person Keelboat","Los Angeles"
"151","GER","Silver",1960,"Cycling","Cycling Men's 100 kilometres Team Time Trial","Roma"
"152","AUT","Bronze",1912,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Stockholm"
"153","SWE","Bronze",1936,"Equestrianism","Equestrianism Men's Dressage, Team","Berlin"
"154","SWE","Gold",1912,"Equestrianism","Equestrianism Men's Three-Day Event, Team","Stockholm"
"155","SWE","Bronze",1908,"Tennis","Tennis Women's Singles, Covered Courts","London"
"156","SWE","Gold",1912,"Diving","Diving Men's Platform","Stockholm"
"157","SWE","Gold",1912,"Diving","Diving Men's Plain High","Stockholm"
"158","SWE","Silver",1920,"Diving","Diving Men's Platform","Antwerpen"
"159","GBR","Gold",2008,"Swimming","Swimming Women's 400 metres Freestyle","Beijing"
"160","GBR","Gold",2008,"Swimming","Swimming Women's 800 metres Freestyle","Beijing"
"161","GBR","Bronze",2012,"Swimming","Swimming Women's 400 metres Freestyle","London"
"162","GBR","Bronze",2012,"Swimming","Swimming Women's 800 metres Freestyle","London"
"163","LTU","Bronze",2000,"Basketball","Basketball Men's Basketball","Sydney"
"164","USA","Gold",2008,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Beijing"
"165","USA","Gold",2012,"Swimming","Swimming Men's 100 metres Freestyle","London"
"166","USA","Silver",2012,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","London"
"167","USA","Gold",2012,"Swimming","Swimming Men's 4 x 100 metres Medley Relay","London"
"168","USA","Bronze",2016,"Swimming","Swimming Men's 50 metres Freestyle","Rio de Janeiro"
"169","USA","Bronze",2016,"Swimming","Swimming Men's 100 metres Freestyle","Rio de Janeiro"
"170","USA","Gold",2016,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","Rio de Janeiro"
"171","USA","Gold",2016,"Swimming","Swimming Men's 4 x 100 metres Medley Relay","Rio de Janeiro"
"172","BRA","Silver",1996,"Basketball","Basketball Women's Basketball","Atlanta"
"173","BRA","Bronze",2000,"Basketball","Basketball Women's Basketball","Sydney"
"174","HUN","Silver",1996,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Atlanta"
"175","GER","Silver",1964,"Rowing","Rowing Men's Coxed Eights","Tokyo"
"176","RUS","Silver",2012,"Gymnastics","Gymnastics Women's Team All-Around","London"
"177","NGR","Silver",1996,"Athletics","Athletics Women's 4 x 400 metres Relay","Atlanta"
"178","ROU","Bronze",1976,"Rowing","Rowing Women's Coxed Quadruple Sculls","Montreal"
"179","RSA","Bronze",2016,"Rugby Sevens","Rugby Sevens Men's Rugby Sevens","Rio de Janeiro"
"180","ROU","Gold",1984,"Gymnastics","Gymnastics Women's Team All-Around","Los Angeles"
"181","ROU","Bronze",1984,"Gymnastics","Gymnastics Women's Horse Vault","Los Angeles"
"182","ITA","Bronze",2004,"Rowing","Rowing Men's Coxless Fours","Athina"
"183","ITA","Silver",2008,"Rowing","Rowing Men's Quadruple Sculls","Beijing"
"184","USA","Gold",1996,"Tennis","Tennis Men's Singles","Atlanta"
"185","FRA","Silver",2016,"Judo","Judo Women's Half-Middleweight","Rio de Janeiro"
"186","NOR","Bronze",1920,"Sailing","Sailing Mixed 6 metres","Antwerpen"
"187","URS","Bronze",1956,"Water Polo","Water Polo Men's Water Polo","Melbourne"
"188","URS","Silver",1960,"Water Polo","Water Polo Men's Water Polo","Roma"
"189","URS","Bronze",1964,"Water Polo","Water Polo Men's Water Polo","Tokyo"
"190","NED","Gold",2008,"Hockey","Hockey Women's Hockey","Beijing"
"191","NED","Gold",2012,"Hockey","Hockey Women's Hockey","London"
"192","FRA","Gold",2012,"Swimming","Swimming Men's 200 metres Freestyle","London"
"193","FRA","Gold",2012,"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","London"
"194","FRA","Silver",2012,"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","London"
"195","HUN","Gold",1964,"Fencing","Fencing Women's Foil, Team","Tokyo"
"196","ITA","Gold",1928,"Fencing","Fencing Men's epee, Team","Amsterdam"
"197","ITA","Bronze",1932,"Fencing","Fencing Men's epee, Individual","Los Angeles"
"198","ITA","Silver",1932,"Fencing","Fencing Men's epee, Team","Los Angeles"
"199","ITA","Silver",1948,"Fencing","Fencing Men's epee, Team","London"
"200","SWE","Bronze",1936,"Boxing","Boxing Men's Lightweight","Berlin"
"201","GRE","Gold",1906,"Rowing","Rowing Men's 17-Man Naval Rowing Boats","Athina"
"202","NED","Gold",1928,"Gymnastics","Gymnastics Women's Team All-Around","Amsterdam"
"203","CUB","Gold",2000,"Volleyball","Volleyball Women's Volleyball","Sydney"
"204","CUB","Bronze",1980,"Boxing","Boxing Men's Light-Welterweight","Moskva"
"205","ESP","Bronze",2012,"Handball","Handball Women's Handball","London"
"206","ESP","Silver",2016,"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group","Rio de Janeiro"
"207","CUB","Bronze",1992,"Athletics","Athletics Men's 4 x 100 metres Relay","Barcelona"
"208","INA","Silver",2016,"Weightlifting","Weightlifting Women's Flyweight","Rio de Janeiro"
"209","USA","Silver",2008,"Volleyball","Volleyball Women's Volleyball","Beijing"
"210","GBR","Gold",1908,"Athletics","Athletics Men's Triple Jump","London"
"211","FIN","Bronze",1932,"Boxing","Boxing Men's Welterweight","Los Angeles"
"212","FIN","Silver",1924,"Wrestling","Wrestling Men's Bantamweight, Greco-Roman","Paris"
"213","SWE","Silver",1912,"Wrestling","Wrestling Men's Middleweight B, Greco-Roman","Stockholm"
"214","USA","Gold",1948,"Rowing","Rowing Men's Coxed Eights","London"
"215","GER","Bronze",2004,"Equestrianism","Equestrianism Mixed Jumping, Team","Athina"
"216","GER","Bronze",2016,"Equestrianism","Equestrianism Mixed Jumping, Team","Rio de Janeiro"
"217","SWE","Silver",1932,"Boxing","Boxing Men's Lightweight","Los Angeles"
"218","SWE","Bronze",1952,"Football","Football Men's Football","Helsinki"
"219","INA","Gold",2016,"Badminton","Badminton Mixed Doubles","Rio de Janeiro"
"220","SWE","Gold",1948,"Athletics","Athletics Men's Triple Jump","London"
"221","GER","Bronze",2000,"Beach Volleyball","Beach Volleyball Men's Beach Volleyball","Sydney"
"222","USA","Gold",1992,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Barcelona"
"223","USA","Silver",1992,"Swimming","Swimming Women's 100 metres Butterfly","Barcelona"
"224","USA","Gold",1992,"Swimming","Swimming Women's 4 x 100 metres Medley Relay","Barcelona"
"225","PAK","Bronze",1992,"Hockey","Hockey Men's Hockey","Barcelona"
"226","PAK","Gold",1968,"Hockey","Hockey Men's Hockey","Mexico City"
"227","PAK","Gold",1984,"Hockey","Hockey Men's Hockey","Los Angeles"
"228","PAK","Silver",1972,"Hockey","Hockey Men's Hockey","Munich"
"229","FIN","Bronze",1912,"Sailing","Sailing Mixed 8 metres","Stockholm"
"230","GER","Silver",1964,"Sailing","Sailing Mixed Three Person Keelboat","Tokyo"
"231","GDR","Gold",1976,"Rowing","Rowing Women's Coxed Eights","Montreal"
"232","USA","Gold",2004,"Rowing","Rowing Men's Coxed Eights","Athina"
"233","CHI","Silver",1956,"Athletics","Athletics Women's Javelin Throw","Melbourne"
"234","ITA","Silver",2012,"Water Polo","Water Polo Men's Water Polo","London"
"235","ITA","Bronze",2016,"Water Polo","Water Polo Men's Water Polo","Rio de Janeiro"
"236","ARG","Silver",2000,"Hockey","Hockey Women's Hockey","Sydney"
"237","ARG","Bronze",2004,"Hockey","Hockey Women's Hockey","Athina"
"238","ARG","Bronze",2008,"Hockey","Hockey Women's Hockey","Beijing"
"239","ITA","Silver",2016,"Water Polo","Water Polo Women's Water Polo","Rio de Janeiro"
"240","AUT","Silver",1924,"Weightlifting","Weightlifting Men's Heavyweight","Paris"
"241","GER","Bronze",2012,"Canoeing","Canoeing Men's Kayak Singles, Slalom","London"
"242","JPN","Silver",1956,"Gymnastics","Gymnastics Men's Team All-Around","Melbourne"
"243","JPN","Silver",1956,"Gymnastics","Gymnastics Men's Floor Exercise","Melbourne"
"244","JPN","Gold",1960,"Gymnastics","Gymnastics Men's Team All-Around","Roma"
"245","JPN","Gold",1960,"Gymnastics","Gymnastics Men's Floor Exercise","Roma"
"246","JPN","Bronze",1992,"Gymnastics","Gymnastics Men's Team All-Around","Barcelona"
"247","JPN","Bronze",2004,"Baseball","Baseball Men's Baseball","Athina"
"248","AUS","Bronze",1956,"Rowing","Rowing Men's Coxed Eights","Melbourne"
"249","GBR","Silver",1996,"Sailing","Sailing Mixed One Person Dinghy","Atlanta"
"250","GBR","Gold",2000,"Sailing","Sailing Mixed One Person Dinghy","Sydney"
"251","GBR","Gold",2004,"Sailing","Sailing Men's One Person Dinghy","Athina"
"252","GBR","Gold",2008,"Sailing","Sailing Mixed One Person Dinghy","Beijing"
"253","GBR","Gold",2012,"Sailing","Sailing Men's One Person Heavyweight Dinghy","London"
"254","GBR","Gold",1920,"Athletics","Athletics Men's 4 x 400 metres Relay","Antwerpen"
"255","GBR","Bronze",1968,"Sailing","Sailing Mixed 5.5 metres","Mexico City"
"256","CAN","Silver",1936,"Basketball","Basketball Men's Basketball","Berlin"
"257","GBR","Silver",1912,"Tennis","Tennis Mixed Doubles, Covered Courts","Stockholm"
"258","AUS","Silver",1992,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","Barcelona"
"259","AUS","Bronze",1996,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","Atlanta"
"260","AUS","Gold",2000,"Cycling","Cycling Men's Madison","Sydney"
"261","FRA","Gold",1900,"Rugby","Rugby Men's Rugby","Paris"
"262","UKR","Gold",2008,"Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Beijing"
"263","GRE","Bronze",2000,"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group","Sydney"
"264","NGR","Bronze",2016,"Football","Football Men's Football","Rio de Janeiro"
"265","CUB","Gold",1992,"Baseball","Baseball Men's Baseball","Barcelona"
"266","CUB","Gold",1996,"Baseball","Baseball Men's Baseball","Atlanta"
"267","CUB","Silver",2000,"Baseball","Baseball Men's Baseball","Sydney"
"268","CAN","Bronze",2016,"Athletics","Athletics Men's 4 x 100 metres Relay","Rio de Janeiro"
"269","NGR","Gold",1996,"Athletics","Athletics Women's Long Jump","Atlanta"
"270","GBR","Silver",1984,"Athletics","Athletics Men's 4 x 400 metres Relay","Los Angeles"
"271","GBR","Bronze",1992,"Athletics","Athletics Men's 400 metres Hurdles","Barcelona"
"272","GBR","Bronze",1992,"Athletics","Athletics Men's 4 x 400 metres Relay","Barcelona"
"273","JPN","Silver",1984,"Wrestling","Wrestling Men's Featherweight, Freestyle","Los Angeles"
"274","JPN","Bronze",1992,"Wrestling","Wrestling Men's Lightweight, Freestyle","Barcelona"
"275","TUR","Gold",1948,"Wrestling","Wrestling Men's Bantamweight, Freestyle","London"
"276","TUR","Bronze",1956,"Wrestling","Wrestling Men's Flyweight, Freestyle","Melbourne"
"277","TUR","Silver",1964,"Wrestling","Wrestling Men's Bantamweight, Freestyle","Tokyo"
"278","TUR","Silver",1972,"Wrestling","Wrestling Men's Featherweight, Freestyle","Munich"
"279","SWE","Gold",1948,"Canoeing","Canoeing Men's Kayak Doubles, 10,000 metres","London"
"280","SWE","Silver",1952,"Canoeing","Canoeing Men's Kayak Doubles, 10,000 metres","Helsinki"
"281","SWE","Gold",1932,"Sailing","Sailing Mixed 6 metres","Los Angeles"
"282","USA","Gold",1996,"Football","Football Women's Football","Atlanta"
"283","TUR","Gold",2016,"Wrestling","Wrestling Men's Super-Heavyweight, Freestyle","Rio de Janeiro"
"284","URS","Gold",1980,"Volleyball","Volleyball Women's Volleyball","Moskva"
"285","UZB","Bronze",2016,"Boxing","Boxing Men's Bantamweight","Rio de Janeiro"
"286","RUS","Gold",2016,"Fencing","Fencing Men's Foil, Team","Rio de Janeiro"
"287","RUS","Silver",2008,"Wrestling","Wrestling Men's Super-Heavyweight, Freestyle","Beijing"
"288","BUL","Silver",1964,"Wrestling","Wrestling Men's Heavyweight, Freestyle","Tokyo"
"289","URS","Bronze",1980,"Hockey","Hockey Women's Hockey","Moskva"
"290","URS","Bronze",1960,"Rowing","Rowing Men's Coxless Fours","Roma"
"291","UGA","Gold",1972,"Athletics","Athletics Men's 400 metres Hurdles","Munich"
"292","URS","Gold",1972,"Water Polo","Water Polo Men's Water Polo","Munich"
"293","URS","Gold",1980,"Water Polo","Water Polo Men's Water Polo","Moskva"
"294","USA","Gold",2016,"Athletics","Athletics Women's 4 x 100 metres Relay","Rio de Janeiro"
"295","USA","Silver",2012,"Volleyball","Volleyball Women's Volleyball","London"
"296","RUS","Silver",2004,"Weightlifting","Weightlifting Men's Middle-Heavyweight","Athina"
"297","RUS","Bronze",2008,"Weightlifting","Weightlifting Men's Middle-Heavyweight","Beijing"
"298","RUS","Bronze",2000,"Water Polo","Water Polo Women's Water Polo","Sydney"
"299","EUN","Silver",1992,"Weightlifting","Weightlifting Men's Heavyweight II","Barcelona"
"300","USA","Bronze",2016,"Fencing","Fencing Women's Sabre, Team","Rio de Janeiro"
"301","URS","Bronze",1976,"Athletics","Athletics Women's 4 x 400 metres Relay","Montreal"
"302","URS","Bronze",1976,"Athletics","Athletics Men's 4 x 100 metres Relay","Montreal"
"303","URS","Gold",1980,"Athletics","Athletics Men's 4 x 100 metres Relay","Moskva"
"304","RUS","Bronze",1996,"Rowing","Rowing Men's Coxed Eights","Atlanta"
"305","URS","Bronze",1980,"Swimming","Swimming Women's 4 x 100 metres Medley Relay","Moskva"
"306","URS","Silver",1976,"Sailing","Sailing Mixed Two Person Keelboat","Montreal"
"307","SYR","Bronze",2004,"Boxing","Boxing Men's Heavyweight","Athina"
"308","QAT","Bronze",2012,"Shooting","Shooting Men's Skeet","London"
"309","KUW","Bronze",2000,"Shooting","Shooting Men's Double Trap","Sydney"
"310","KUW","Bronze",2012,"Shooting","Shooting Men's Trap","London"
"311","IOA","Gold",2016,"Shooting","Shooting Men's Double Trap","Rio de Janeiro"
"312","KSA","Bronze",2012,"Equestrianism","Equestrianism Mixed Jumping, Team","London"
"313","KSA","Bronze",2000,"Equestrianism","Equestrianism Mixed Jumping, Individual","Sydney"
"314","UAE","Gold",2004,"Shooting","Shooting Men's Double Trap","Athina"
"315","IOA","Bronze",2016,"Shooting","Shooting Men's Skeet","Rio de Janeiro"
"316","KSA","Silver",2000,"Athletics","Athletics Men's 400 metres Hurdles","Sydney"
"317","ESP","Gold",2012,"Sailing","Sailing Women's Windsurfer","London"
"318","URS","Silver",1964,"Basketball","Basketball Men's Basketball","Tokyo"
"319","URS","Silver",1972,"Wrestling","Wrestling Men's Flyweight, Freestyle","Munich"
"320","PAK","Silver",1956,"Hockey","Hockey Men's Hockey","Melbourne"
"321","CRO","Silver",1992,"Basketball","Basketball Men's Basketball","Barcelona"
"322","ITA","Bronze",1968,"Sailing","Sailing Mixed One Person Dinghy","Mexico City"
