"","NOC","Medal","Year","Sport","Event","City"
"14101","NOR","Bronze",1928,"Athletics","Athletics Men's Javelin Throw","Amsterdam"
"14102","SWE","Gold",1968,"Sailing","Sailing Mixed 5.5 metres","Mexico City"
"14103","TPE","Bronze",2008,"Taekwondo","Taekwondo Men's Featherweight","Beijing"
"14104","TCH","Bronze",1924,"Gymnastics","Gymnastics Men's Individual All-Around","Paris"
"14105","TCH","Gold",1924,"Gymnastics","Gymnastics Men's Rope Climbing","Paris"
"14106","POL","Silver",1980,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","Moskva"
"14107","TCH","Bronze",1972,"Athletics","Athletics Women's Long Jump","Munich"
"14108","INA","Gold",1992,"Badminton","Badminton Women's Singles","Barcelona"
"14109","INA","Bronze",1996,"Badminton","Badminton Women's Singles","Atlanta"
"14110","INA","Bronze",1992,"Badminton","Badminton Men's Singles","Barcelona"
"14111","THA","Bronze",2000,"Weightlifting","Weightlifting Women's Lightweight","Sydney"
"14112","IRL","Bronze",2008,"Boxing","Boxing Men's Middleweight","Beijing"
"14113","GER","Gold",1936,"Art Competitions","Art Competitions Mixed Sculpturing, Reliefs","Berlin"
"14114","FRA","Gold",1932,"Weightlifting","Weightlifting Men's Featherweight","Los Angeles"
"14115","FIN","Gold",1936,"Boxing","Boxing Men's Welterweight","Berlin"
"14116","JPN","Gold",1988,"Swimming","Swimming Men's 100 metres Backstroke","Seoul"
"14117","JPN","Silver",1952,"Swimming","Swimming Men's 100 metres Freestyle","Helsinki"
"14118","JPN","Gold",2004,"Judo","Judo Men's Heavyweight","Athina"
"14119","JPN","Bronze",2012,"Swimming","Swimming Women's 100 metres Breaststroke","London"
"14120","JPN","Silver",2012,"Swimming","Swimming Women's 200 metres Breaststroke","London"
"14121","JPN","Bronze",1936,"Art Competitions","Art Competitions Mixed Painting, Drawings And Water Colors","Berlin"
"14122","SWE","Silver",1906,"Athletics","Athletics Men's 5 mile","Athina"
"14123","SWE","Silver",1906,"Athletics","Athletics Men's Marathon","Athina"
"14124","SWE","Bronze",1908,"Athletics","Athletics Men's 5 mile","London"
"14125","RUS","Gold",2000,"Modern Pentathlon","Modern Pentathlon Men's Individual","Sydney"
"14126","SWE","Gold",1936,"Wrestling","Wrestling Men's Welterweight, Greco-Roman","Berlin"
"14127","SWE","Bronze",1928,"Athletics","Athletics Women's Discus Throw","Amsterdam"
"14128","SWE","Silver",1936,"Wrestling","Wrestling Men's Bantamweight, Greco-Roman","Berlin"
"14129","SWE","Silver",1932,"Athletics","Athletics Men's Triple Jump","Los Angeles"
"14130","SWE","Bronze",1920,"Wrestling","Wrestling Men's Featherweight, Greco-Roman","Antwerpen"
"14131","SWE","Silver",1920,"Wrestling","Wrestling Men's Lightweight, Freestyle","Antwerpen"
"14132","SWE","Silver",2016,"Shooting","Shooting Men's Skeet","Rio de Janeiro"
"14133","SWE","Silver",1964,"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Tokyo"
"14134","SWE","Silver",1924,"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Paris"
"14135","SWE","Silver",1924,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Paris"
"14136","SWE","Gold",1928,"Wrestling","Wrestling Men's Heavyweight, Greco-Roman","Amsterdam"
"14137","SWE","Gold",1932,"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Los Angeles"
"14138","CZE","Gold",2012,"Modern Pentathlon","Modern Pentathlon Men's Individual","London"
"14139","TCH","Bronze",1976,"Rowing","Rowing Men's Coxed Pairs","Montreal"
"14140","USA","Bronze",1968,"Swimming","Swimming Women's 100 metres Backstroke","Mexico City"
"14141","SWE","Gold",1912,"Shooting","Shooting Men's Running Target, Single Shot","Stockholm"
"14142","SWE","Silver",1920,"Shooting","Shooting Men's Running Target, Single Shot","Antwerpen"
